cgroup,commoditycode,pci,exp_share
Periphery countries,2508,-0.448934252117647,0.000324443979635799
Core countries,2509,-0.387118713411765,1.77114717409208e-05
Periphery countries,2509,-0.387118713411765,5.70153659599996e-05
Core countries,2510,-1.41670895294118,2.65751385592124e-05
Periphery countries,2510,-1.41670895294118,3.60522786980922e-06
Core countries,2511,-1.43352963529412,1.21928854417517e-05
Periphery countries,2511,-1.43352963529412,1.07833794346506e-05
Core countries,2512,-0.262713106882353,1.92217537598914e-05
Periphery countries,2512,-0.262713106882353,7.63003687215373e-06
Core countries,2513,-1.43453025882353,6.99241140995364e-06
Periphery countries,2513,-1.43453025882353,7.7723266739664e-05
Core countries,2514,-0.412294294941176,3.26691971629003e-06
Periphery countries,2514,-0.412294294941176,4.02461417164174e-05
Core countries,2515,-1.40198501176471,1.78834998967323e-05
Periphery countries,2515,-1.40198501176471,0.00115438782276258
Core countries,2516,-1.07604845529412,0.000146751052525229
Periphery countries,2516,-1.07604845529412,0.000324495758341907
Core countries,2517,-0.325083271764706,0.000367878026826997
Periphery countries,2517,-0.325083271764706,0.000124437011181396
Core countries,2518,-0.288143126470588,6.1655114073142e-05
Periphery countries,2518,-0.288143126470588,0.000112099176626687
Core countries,2519,0.189057619147059,0.000105109139186691
Periphery countries,2519,0.189057619147059,0.000357549712746603
Core countries,2520,-1.11341315823529,4.93145734820846e-05
Periphery countries,2520,-1.11341315823529,0.000140875054948986
Core countries,2521,-0.363808958705882,1.9704520078831e-05
Periphery countries,2521,-0.363808958705882,7.81517971711945e-06
Core countries,2522,-0.335886176176471,8.42732418667382e-05
Periphery countries,2522,-0.335886176176471,4.0480912700777e-05
Core countries,2523,-1.18272182941176,0.000729913621116274
Periphery countries,2523,-1.18272182941176,0.00297389862083241
Core countries,2524,-0.952417883529412,3.6367446141348e-07
Periphery countries,2524,-0.952417883529412,7.37115472220354e-06
Core countries,2525,0.252813002882353,1.3630474982844e-05
Periphery countries,2525,0.252813002882353,2.21649548333397e-06
Core countries,2526,0.113507745,0.000312456665896743
Periphery countries,2526,0.113507745,4.74817681861119e-05
