"","year","ccode","Exports","ULC_index","GDP_pc_PPP","OECD_GERD","Wages","pop","TECH","eci_rank","eci_rank_normed","RULC","GERD_pc","ULCGR","rel_ULCGR","EXP","EXPGR","eciGR","eci_rank_change","eci_rank_normed_change","world_GDPg","CAP.ACCU","TOT","HC","TAXBURDEN","real_gdp","gdp_growth","REER","INFLATION","PART.GROWTH","PRIMARY"
"37",2006,"AUS",123.39,89.09997,37138.28415,17113.66441,47949,20.606228,0.00127777499999998,136,0.418103448,82.44424,830.509320288992,0.0458327249268856,0.0120371478567434,1.58611611722271,3.07624740303524,61.3631411681533,12,-0.042422868,4.305647721,10.59124325,76.06678715,3.472416639,29.387,847763.9375,0.0293098053958046,79.3361542997678,3.538487339,0.0186769645506515,0.56306068493563
"38",2007,"AUS",141.19,93.10426,38775.78024,NA,49169,20.975949,-0.00739896300000004,136,0.415584416,90.76241,NA,0.0449415415066918,0.100894495479612,1.58532504833787,-0.0498745883889766,2.98346257368034,0,-0.00251903199999998,4.228059675,10.98775178,80.35750414,3.46150136,29.503,879535.25,0.0374766029723929,88.0827665247252,2.332361516,0.0387729869759274,0.555927885206872
"39",2008,"AUS",185.42,94.93159,39219.47467,20262.32918,49584,21.370348,-0.152213662,152,0.346320346,89.62076,948.151578065084,0.0196267066619723,-0.0125784451955385,1.87607693311708,18.3402063245038,48.3514237058974,16,-0.06926407,1.818551801,10.66647883,86.14949372,3.450620174,26.874,932737.5,0.0604890480512293,86.9522595175197,4.352643242,-0.00210797428166864,0.644259583958005
"40",2009,"AUS",154.46,95.42021,40897.04122,NA,49182,21.77069,-0.216211438,150,0.352173913,84.4407,NA,0.00514707485674681,-0.0577997776408055,1.99687656753388,6.43894886635056,14.4035579392832,-2,0.005853567,-1.734050381,10.41110765,83.03097666,3.43977356,25.642,919825.75,-0.0138428550369209,80.8304031703061,1.82011224,-0.0374893906972315,0.627396539571616
"41",2010,"AUS",211.55,100,42165.82842,20591.89851,50675,22.162863,-0.26572299,150,0.354978355,100,929.117258451672,0.0479960167767395,0.184263039032125,2.33858460082666,17.1121259495161,9.74029052430225,0,0.00280444200000002,4.311472256,10.35126136,100,3.4289608,25.417,996977.75,0.0838767560051455,100,2.845225682,0.0507416350650412,0.676927237787464
"42",2011,"AUS",269.66,102.4948,43583.03701,20725.6161,52138,22.542371,-0.166613787,147,0.367965368,110.1176,919.407106732473,0.024948,0.101176,2.55558293371747,9.27904565924647,-17.7669650846445,-3,0.012987013,3.180881833,11.00838498,100.4997491,3.442167044,26.059,1039931.5,0.04308396049962,111.05178202909,3.303850156,0.00872255179860349,0.70182871875642
"43",2012,"AUS",257.79,NA,43082.38768,NA,52698,22.911375,-0.272689402,164,0.300429185,111.3838,NA,NA,0.0114986160250496,2.48777776276604,-2.65321739540655,23.1242951967692,17,-0.067536183,2.508079253,10.83416127,90.90374597,3.455424309,27.115,1026887.875,-0.0125427732499689,112.750869010353,1.762780156,0.0122155600623834,0.661917933850945
"44",2013,"AUS",253.28,NA,47002.99005,21607.98819,52460,23.270465,-0.357505202,166,0.294871795,105.8455,928.558504954671,NA,-0.04972267062176,2.40964313915765,-3.14073969057071,15.0170958147966,2,-0.00555739,2.614862833,10.22761655,87.45959479,3.468732834,27.328,1034652.5625,0.00756137811053617,106.36123719401,2.449888641,0.0215891294720945,0.675952099852868
"45",2014,"AUS",240.2,NA,46920.61776,NA,52649,23.622353,-0.272234141,160,0.320512821,100.1516,NA,NA,-0.0537944456778984,2.24762207760004,-6.72386126081099,-13.1264853529412,-6,0.025641026,2.855754385,9.583800737,78.3527611,3.482092381,27.604,1045083.125,0.0100812223136982,101.533612364258,2.487922705,0.0191985689201575,0.658007165542769
"46",2015,"AUS",187.85,NA,46761.16774,20369.01099,51986,NA,-0.190158814,153,0.347639485,89.84026,NA,NA,-0.102957316707871,1.98379172985372,-11.7381988002199,-14.5436033361304,-7,0.027126664,2.856945528,9.020530322,70.49251836,NA,28.224,NA,NA,94.6778799485326,1.508366722,NA,0.61688542383916
"47",2016,"AUS",191.61,NA,48177.78556,NA,52063,NA,-0.179242461,151,0.350649351,89.04089,NA,NA,-0.00889768128453765,2.04603990210274,3.13783807605727,-2.2635619960894,-2,0.00300986599999997,2.505727885,8.80730425,80.64809951,NA,NA,NA,NA,93.7250199704589,1.276990945,NA,0.617298145393813
"48",1970,"AUT",2.87,34.24516,3834.186274,NA,NA,7.509746,2.403841138,6,0.971751412,80.22208,NA,NA,NA,1.29017756799281,-5.71574260350084,4.83901170385193,-2,0.016055209,4.861890299,9.0186873,115.810276,2.616613865,33.668,98571.8984375,0.0638187383887786,NA,4.372824936,0.0564924557855895,0.178507981951134
