iso3c,year,kof_trade_df,kof_trade_dj,trade_total_GDP,gvnt_cons,gvtn_expense
IRL,1979,78.3162689208984,73.2222061157227,105.173196349817,20.1359521979491,36.8794414271474
IRL,1980,78.0420913696289,72.3723449707031,102.180740688899,22.1333915956508,40.241753682045
IRL,1981,78.6549987792969,70.5172958374024,100.853808248425,22.1626987580865,42.12176743125
IRL,1982,77.3126449584961,71.9201278686523,93.8572548511366,22.0236131331837,45.5233822404439
IRL,1983,79.4721527099609,74.2878875732422,97.6195665127078,21.5328530843832,46.444909457783
IRL,1984,82.2653884887695,74.5792465209961,108.175913257647,20.8178177174254,44.9717642133871
IRL,1985,82.5466842651367,75.1036071777344,107.632470032987,20.6658409742693,45.8098063947651
IRL,1986,80.2138748168945,76.267692565918,97.0093074231768,20.9010932636621,44.9808301620587
IRL,1987,80.8239898681641,76.864387512207,100.623709695207,19.7214508270206,44.6607683438826
IRL,1988,81.3732833862305,77.7665328979492,105.092571526667,17.9754181777016,41.0269738780571
IRL,1989,82.7157669067383,79.1941986083984,112.330807646764,16.6932912161575,35.127623966305
IRL,1990,81.411849975586,80.3628005981445,104.903811556769,17.1790207930785,35.6993025672473
IRL,1991,81.9419097900391,81.4742431640625,106.312910607508,18.172591710023,37.0804706792915
IRL,1992,81.8467788696289,83.3183670043945,109.414432419179,18.56914285618,37.5372441513383
IRL,1993,84.0085983276367,85.2296447753906,116.463226854307,18.363277147196,37.5847550531044
IRL,1994,85.6147613525391,86.3424835205078,126.337621433386,18.184325029852,37.0713352348447
IRL,1995,86.7242736816406,88.6107940673828,135.940345452529,17.2366574880452,37.1571057467864
IRL,1996,87.2075347900391,91.69482421875,138.703731903305,16.5882752618527,35.3100293494225
IRL,1997,87.5739364624024,92.1272659301758,142.321893795447,16.0996643349787,33.0802042705298
IRL,1998,88.1755981445313,95.0471649169922,157.977943670897,15.4972107675245,31.1310265865211
IRL,1999,87.4936904907227,94.3012924194336,160.144364533401,14.9442182778028,30.5375380508391
IRL,2000,89.0441665649414,96.8383407592773,175.139936863484,14.685112578611,27.6884009683633
IRL,2001,87.3778686523438,95.7190780639649,175.027333471634,15.3615184067519,28.980839876705
IRL,2002,85.1172943115235,93.9089584350586,163.770867603312,15.7892574085638,29.4521743929561
IRL,2003,84.0287780761719,94.6567840576172,146.550761246775,16.0375284754033,29.6973742699586
IRL,2004,82.9024353027344,94.124267578125,146.69765916129,16.1408681873551,29.7073224956077
IRL,2005,82.5757141113281,93.3166427612305,148.277920031908,16.0313929357213,30.4135235983446
IRL,2006,81.4849700927734,89.3482437133789,149.957458397069,16.2260053762254,30.6152751164564
IRL,2007,80.7220916748047,89.6607971191406,153.2939161693,16.8734299082424,31.8724882217819
IRL,2008,81.6158752441406,89.7824096679688,159.635387747843,18.7913117694176,36.9346377434463
IRL,2009,81.8076705932617,90.3190994262695,173.001741948266,20.1366731626481,43.84888258062
IRL,2010,83.6532821655274,91.0818862915039,189.434249896267,18.7884270431786,62.1867829679252
IRL,2011,84.233268737793,89.5268402099609,188.410354419409,18.3377489109214,43.9108302013522
IRL,2012,84.208869934082,87.9183044433594,191.427123427992,17.6793591230803,39.4340463172789
IRL,2013,84.0013122558594,87.9170989990234,188.247959482605,16.9471290545049,37.8375846436318
IRL,2014,84.1923370361328,91.0563888549805,201.499423567987,16.0486861565592,34.8407841089824
IRL,2015,81.1993713378906,91.2773361206055,215.437678678111,12.2501386837537,27.0179266272061
IRL,2016,80.9623413085938,89.6478805541992,224.755320750824,12.3142502881106,25.5673236895599
IRL,2017,,,209.385440579558,11.9833681052992,24.1558434755719
IRL,2018,,,,11.9003042533668,
IRL,2019,,,,,
IRL,2020,,,,,
ITA,1965,,,26.4162308524716,16.8669088689744,
ITA,1966,,,27.7056058298763,16.5826603785385,
ITA,1967,,,27.9617832066279,16.0696197319831,
ITA,1968,,,28.5140999078899,16.1588881480994,
ITA,1969,,,30.3906037756984,15.8670473067739,
ITA,1970,19.9307117462158,73.0812606811524,30.1912584220186,15.0790480477425,
ITA,1971,19.5353622436523,73.2492370605469,30.4894422046465,16.4840265322025,
ITA,1972,19.9069900512695,73.4172210693359,31.9205398429225,17.0672260129204,
ITA,1973,20.4528045654297,74.0891265869141,34.1691483393825,16.3842707775403,26.7081687765523
ITA,1974,26.2762966156006,74.9272689819336,40.9279674122288,15.5672314676495,26.6690421999892
ITA,1975,24.9400177001953,74.2571105957031,37.5152662444838,16.0128125138234,31.1328725487786
ITA,1976,26.0667629241943,73.8545761108399,41.3185519551361,15.4308549139157,30.1091725752853
ITA,1977,27.7186222076416,76.1656188964844,41.937956135554,15.7297582877805,30.2614316976024
ITA,1978,26.9397850036621,77.1034088134766,41.3949819522803,16.3124973653057,33.9999215964369
ITA,1979,28.0902500152588,77.1692657470703,43.8446589686697,16.3913034022875,35.848998894216
ITA,1980,28.0266704559326,77.9886245727539,43.1044474142936,16.5987984699549,38.6984828231369
ITA,1981,31.0821418762207,78.4791564941406,45.4209512581164,17.9205731834214,
ITA,1982,29.7587718963623,78.6520690917969,43.6417915602755,17.9945583030615,
